So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000001,4.8,6.5,3.8,-1.0,-1.0,-1.0,-1.0,4.25,6.5,8.75,6.5,6
3000002,3.0,2.25,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,3.0,-1.0,-1.0,4
3000003,3.2,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.25,3.75,-1.0,-1.0,4
3000004,5.8,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,5.5,-1.0,-1.0,4
3000005,6.8,6.0,8.6,6.0,3.5,4.25,4.58,-1.0,-1.0,-1.0,-1.0,6
3000006,7.6,5.75,7.2,6.5,5.5,4.25,5.42,-1.0,-1.0,-1.0,-1.0,6
3000007,8.0,8.0,7.6,-1.0,-1.0,-1.0,-1.0,6.25,7.75,9.5,7.83,6
3000008,9.4,6.5,7.6,7.25,8.25,8.0,7.83,-1.0,-1.0,-1.0,-1.0,6
3000009,8.2,7.0,6.4,-1.0,-1.0,-1.0,-1.0,6.5,8.25,9.75,8.17,6
3000010,7.6,7.25,7.4,-1.0,-1.0,-1.0,-1.0,3.25,4.75,7.5,5.17,6
3000011,7.0,7.0,5.0,-1.0,-1.0,-1.0,-1.0,5.75,6.75,8.5,7.0,6
3000012,8.4,4.5,6.8,7.75,7.25,4.0,6.33,-1.0,-1.0,-1.0,-1.0,6
3000013,8.4,6.5,5.8,7.25,7.0,5.75,6.67,-1.0,-1.0,-1.0,-1.0,6
3000014,8.2,6.5,8.0,6.75,6.75,6.0,6.5,-1.0,-1.0,-1.0,-1.0,6
3000015,6.4,6.0,4.6,-1.0,-1.0,-1.0,-1.0,3.75,5.75,7.5,5.67,6
3000016,8.0,7.0,4.2,5.25,6.25,7.25,6.25,-1.0,-1.0,-1.0,-1.0,6
3000017,7.8,5.75,7.4,-1.0,-1.0,-1.0,-1.0,2.75,6.75,7.5,5.67,6
3000018,7.8,5.5,3.8,7.25,7.0,4.75,6.33,-1.0,-1.0,-1.0,-1.0,6
3000019,6.2,5.75,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,6.25,-1.0,-1.0,4
3000020,7.0,8.25,8.8,-1.0,-1.0,-1.0,-1.0,7.25,7.0,9.5,7.92,6
3000021,7.4,6.5,3.4,-1.0,-1.0,-1.0,-1.0,5.75,7.5,8.25,7.17,6
3000022,8.2,5.25,2.4,7.75,8.0,3.75,6.5,-1.0,-1.0,-1.0,-1.0,6
3000023,8.8,5.75,5.8,7.5,7.5,3.75,6.25,-1.0,-1.0,-1.0,-1.0,6
3000024,2.8,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.5,-1.0,-1.0,4
3000025,5.8,6.75,5.0,-1.0,-1.0,-1.0,-1.0,5.0,7.0,7.5,6.5,6
3000026,5.4,6.5,5.0,-1.0,-1.0,-1.0,-1.0,4.25,7.0,8.5,6.58,6
3000027,5.2,5.25,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,5.25,-1.0,-1.0,4
3000028,7.8,6.0,8.8,7.25,5.0,4.75,5.67,-1.0,-1.0,-1.0,-1.0,6
3000029,8.0,5.0,3.4,7.25,6.25,3.75,5.75,-1.0,-1.0,-1.0,-1.0,6
3000030,6.2,5.25,-1.0,-1.0,-1.0,-1.0,-1.0,4.25,-1.0,-1.0,-1.0,3
3000031,4.8,6.5,5.2,-1.0,-1.0,-1.0,-1.0,4.25,5.75,7.75,5.92,6
3000032,6.2,6.25,3.0,-1.0,-1.0,-1.0,-1.0,2.25,5.5,8.75,5.5,6
